chosen-taxiId:28, reqId:76, taxiLoc:9821, startLoc:4818, descLoc:8586, wait:-3.0913887668745943
chosen-taxiId:32, reqId:105, taxiLoc:6098, startLoc:6874, descLoc:4408, wait:-0.29416188021330925
chosen-taxiId:82, reqId:70, taxiLoc:3976, startLoc:8292, descLoc:990, wait:-0.19985722619450286
chosen-taxiId:56, reqId:103, taxiLoc:6731, startLoc:5674, descLoc:9423, wait:-0.8684579734123972
chosen-taxiId:30, reqId:97, taxiLoc:8167, startLoc:2686, descLoc:1814, wait:-0.08085144665510313
chosen-taxiId:8, reqId:8, taxiLoc:4765, startLoc:4613, descLoc:8756, wait:-0.15181818822720317
chosen-taxiId:36, reqId:11, taxiLoc:4768, startLoc:9218, descLoc:8095, wait:-1.932353721898508
chosen-taxiId:50, reqId:89, taxiLoc:3965, startLoc:4254, descLoc:4232, wait:-4.867648716521892
chosen-taxiId:77, reqId:46, taxiLoc:9717, startLoc:5763, descLoc:4080, wait:-6.927221008424603
chosen-taxiId:93, reqId:12, taxiLoc:2697, startLoc:1082, descLoc:8747, wait:-0.09343997505470014
chosen-taxiId:22, reqId:31, taxiLoc:2126, startLoc:5019, descLoc:2261, wait:-0.9218572965623011
chosen-taxiId:51, reqId:37, taxiLoc:7079, startLoc:6400, descLoc:3654, wait:-0.02191765857940453
chosen-taxiId:2, reqId:61, taxiLoc:8888, startLoc:6587, descLoc:3063, wait:-6.0085184093918045
chosen-taxiId:31, reqId:67, taxiLoc:8806, startLoc:3640, descLoc:4303, wait:-0.3600130118234972
chosen-taxiId:40, reqId:72, taxiLoc:356, startLoc:4021, descLoc:7800, wait:-1.063756544356302
chosen-taxiId:5, reqId:116, taxiLoc:9902, startLoc:6573, descLoc:6033, wait:-2.6015951169425975
chosen-taxiId:20, reqId:39, taxiLoc:3124, startLoc:4677, descLoc:5324, wait:-0.4375910736834001
chosen-taxiId:74, reqId:51, taxiLoc:9472, startLoc:9076, descLoc:670, wait:-0.01915835785219855
chosen-taxiId:9, reqId:54, taxiLoc:1268, startLoc:4096, descLoc:2103, wait:-1.2142060568934099
chosen-taxiId:98, reqId:71, taxiLoc:9322, startLoc:3702, descLoc:8106, wait:-0.2871694569636105
chosen-taxiId:23, reqId:117, taxiLoc:9720, startLoc:9450, descLoc:3443, wait:-0.11417229675520701
chosen-taxiId:82, reqId:32, taxiLoc:990, startLoc:838, descLoc:5799, wait:-0.4159147339891973
chosen-taxiId:17, reqId:38, taxiLoc:1567, startLoc:5909, descLoc:8776, wait:-0.16789759594130516
chosen-taxiId:57, reqId:120, taxiLoc:3578, startLoc:4249, descLoc:7746, wait:-1.9849347923424006

ANS
87, 6193, 99, 0, 6338, 3889
10, 7002, 53, 1, 6897, 9453
12, 6324, 93, 1, 6094, 6603
31, 6952, 100, 1, 7050, 9122
17, 1429, 29, 2, 7690, 5142
30, 7032, 6, 3, 6445, 7065
2, 9855, 47, 3, 7233, 551
70, 4662, 60, 4, 4881, 5423
50, 394, 110, 4, 1084, 3667
53, 5131, 4, 5, 5406, 7480
4, 7970, 9, 5, 2054, 1014
22, 5434, 41, 5, 9545, 4857
57, 7760, 83, 6, 1711, 1002
8, 1891, 94, 6, 2648, 6353
13, 9932, 79, 7, 6751, 9278
28, 2894, 98, 7, 4559, 6733
51, 2143, 106, 7, 8673, 2407
93, 9934, 84, 9, 4863, 5033
56, 2301, 7, 10, 594, 5957
6, 2905, 40, 10, 1597, 5664
77, 809, 3, 11, 581, 7624
65, 5381, 5, 12, 1562, 2653
29, 5606, 15, 12, 2066, 6609
40, 8314, 104, 16, 4023, 8528
8, 6353, 86, 17, 6631, 6848
82, 5724, 23, 18, 7942, 5167
43, 1913, 49, 18, 6541, 6545
17, 5142, 74, 18, 9156, 9167
5, 3011, 101, 18, 7396, 5982
12, 6603, 24, 19, 1225, 8442
32, 9897, 42, 21, 8362, 6098
20, 7497, 65, 21, 8607, 6254
36, 150, 19, 22, 6912, 4768
13, 9278, 69, 22, 3935, 3062
2, 551, 115, 22, 4141, 8888
57, 1002, 108, 23, 3382, 8765
30, 7065, 1, 24, 3750, 8167
70, 5423, 109, 24, 2538, 1303
9, 181, 20, 25, 6633, 1268
22, 4857, 36, 25, 828, 2126
4, 1014, 64, 25, 6643, 1382
28, 6733, 77, 26, 5479, 9821
51, 2407, 52, 27, 3857, 3568
100, 9698, 66, 27, 536, 4201
56, 5957, 87, 27, 4885, 5322
93, 5033, 78, 28, 5452, 6023
29, 6609, 2, 29, 6294, 4239
65, 2653, 28, 29, 3453, 6008
6, 5664, 63, 30, 6035, 2203
50, 3667, 96, 30, 4733, 3965
77, 7624, 55, 31, 1875, 9717
